song.id,song.name
1,Alabama Getaway
2,Alice D Millionaire
3,Alligator
4,Althea
5,Attics Of My Life
6,Believe It Or Not
7,Bertha
8,Bird Song
9,Black Muddy River
10,Black Peter
11,Black Throated Wind
12,Blow Away
13,Blues For Allah
14,Born Cross Eyed
15,Box Of Rain
16,Brokedown Palace
17,Brown Eyed Women
18,Built To Last
19,Can't Come Down
20,Candyman
21,Casey Jones
22,Cassidy
23,Caution (Do Not Stop On Tracks)
24,Childhood's End
25,China Cat Sunflower
26,China Doll
27,Chinatown Shuffle
28,Clementine
29,Comes A Time
30,Corrina
31,Cosmic Charlie
32,Crazy Fingers
33,Cream Puff War
34,The Creeper
35,Cryptical Envelopment
36,Cumberland Blues
37,Dark Star
38,Days Between
39,Deal
40,Dire Wolf
41,Doin' That Rag
42,Don't Need Love
43,Down So Long
44,Dupree's Diamond Blues
45,Easy Answers
46,Easy To Love You
47,Easy Wind
48,The Eleven
49,Empty Pages
50,Equinox
51,Estimated Prophet
52,Eternity
53,Eyes Of The World
54,Far From Me
55,Feel Like A Stranger
56,Fire On The Mountain
57,Foolish Heart
58,France
59,Franklin's Tower
60,Friend Of The Devil
61,From The Heart Of Me
62,"Gentlemen, Start Your Engines"
63,The Golden Road (To Unlimited Devotion)
64,Greatest Story Ever Told
65,He's Gone
66,Heaven Help The Fool
67,Hell In A Bucket
68,Help On The Way
69,Here Comes Sunshine
70,High Time
71,Hollywood Cantata
72,I Need A Miracle
73,I Will Take You Home
74,If The Shoe Fits
75,If I Had The World To Give
76,It Must Have Been The Roses
77,Jack Straw
78,Just A Little Light
79,Keep Rolling By
80,Keep Your Day Job
81,King Solomon's Marbles
82,Lady With A Fan
83,Lazy Lightnin'
84,Lazy River Road
85,Let Me Sing Your Blues Away
86,Let It Grow (aka Weather Report Suite Part 2)
87,Liberty
88,Little Star
89,Looks Like Rain
90,Loose Lucy
91,Loser
92,Lost Sailor
93,Mason's Children
94,Maybe You Know
95,Mexicali Blues
96,Might As Well
97,Mindbender
98,Mission In The Rain
99,Mississippi Half-Step Uptown Toodleloo
100,Mister Charlie
101,Money Money
102,Mountains Of The Moon
103,The Music Never Stopped
104,My Brother Esau
105,Never Trust A Woman (aka Good Time Blues)
106,New Potato Caboose
107,New Speedway Boogie
108,"No Left Turn Unstoned (aka The Monster, Cardboard Cowboy)"
109,One More Saturday Night
110,Only A Fool (aka Break You Down)
111,The Only Time Is Now
112,Operator
113,The Other One
114,Passenger
115,Picasso Moon
116,New Orleans
117,Pigpen Rap (Who Cares)
118,Playing In The Band
119,Pride Of Cucamonga
120,Ramble On Rose
121,Rubin And Cherise
122,Revolutionary Hamstrung Blues
123,Ripple
124,Rosemary
125,Row Jimmy
126,Sage And Spirit
127,Saint Of Circumstance
128,Saint Stephen
129,Salt Lake City
130,Samba In The Rain
131,Sand Castles And Glass Camels
132,Scarlet Begonias
133,Seastones
134,Serengetti
135,The Seven
136,Shakedown Street
137,Ship Of Fools
138,Slipknot
139,So Many Roads
140,Stagger Lee
141,Standing On The Corner
142,Standing On The Moon
143,Stella Blue
144,The Stranger (Two Souls In Communion)
145,Sugar Magnolia
146,Sugaree
147,Sunshine Daydream
148,Sunrise
149,Supplication
150,Tastebud
151,Tennessee Jed
152,Terrapin Flyer
153,Terrapin Station
154,Terrapin Transit
155,They Love Each Other
156,This Time Forever
157,Throwing Stones
158,Till The Morning Comes
159,To Lay Me Down
160,Tons Of Steel
161,Touch Of Grey
162,Truckin'
163,U.S.Blues
164,Unbroken Chain
165,Uncle John's Band
166,Unusual Occurrences In The Desert
167,Victim Or The Crime
168,Wave That Flag
169,Wave To The Wind
170,Way To Go Home
171,We Can Run
172,Weather Report Suite Prelude
173,Weather Report Suite Part 1
174,West L.A. Fadeaway
175,Wharf Rat
176,What'll You Raise
177,What's Become Of The Baby
178,The Wheel
179,When Push Comes To Shove
180,You Don't Have To Ask (aka Otis on a Shakedown Cruise)
181,You See A Broken Heart
